,1,2,cluster_lab
286347,12.296812,-8.796841,2
208125,-9.385007,-48.146744,1
888678,-10.057228,0.3022711,3
129028,12.254653,44.95795,0
169545,-19.719019,12.682945,3
208630,16.810078,-14.743112,2
102513,6.021583,-39.58287,1
118932,22.967325,-24.947815,1
552544,-20.126568,35.858765,0
793465,20.27847,9.038618,2
201111,5.203318,-22.558098,1
146533,-4.992613,-11.0562935,3
158035,-9.151386,-40.34133,1
125222,7.6284366,-4.4882526,2
142424,9.104132,-7.8965645,2
894673,-11.762625,-25.959177,1
121719,-4.702096,4.2981777,3
177140,-13.140661,40.54759,0
480141,-6.532108,1.9393202,3
336841,1.2170141,-39.79693,1
198653,-20.139189,-1.8934507,3
677766,27.270548,1.1715606,2
553344,-34.02535,0.88957095,3
275645,14.022725,-20.068619,1
224022,33.672195,3.370574,2
973770,11.365854,32.41362,0
136732,22.88562,3.734495,2
679770,-23.750303,-0.5135716,3
406432,13.205642,-30.58576,1
814649,-2.767732,47.322132,0
180937,6.0573506,-40.890953,1
124826,-8.090102,-2.2339811,3
530635,35.274014,1.6668723,2
124422,-35.74068,-0.53296274,3
942658,-24.892775,-16.916021,3
171431,11.532721,-22.538418,1
255740,-41.284912,0.84270966,3
177645,-6.234164,-46.825344,1
704238,16.01634,14.152234,2
825654,-7.4050627,0.75556326,3
156435,-30.695429,-8.711388,3
162026,-18.398232,40.14433,0
145834,11.824213,-36.553204,1
118023,0.688296,41.83946,0
204218,-3.851059,38.431892,0
164636,22.174313,-7.759491,2
113316,23.612339,19.190159,2
146129,-28.735762,12.290949,3
748258,-10.217031,-1.3099918,3
123925,9.435052,42.161366,0
133827,12.530876,-31.267895,1
116423,7.676909,-0.10986897,2
150019,-14.348125,39.931736,0
316835,10.587498,45.06719,0
157336,28.196344,-7.264354,2
148941,10.383341,-36.691322,1
117021,-13.586708,24.53434,0
609143,-11.312135,-12.640139,3
116221,-3.0101478,24.619219,0
174437,18.309149,18.579521,2
129533,0.08086913,-43.6401,1
196144,-17.295599,-25.574621,3
115724,-10.385386,-12.2602625,3
128026,-30.922388,-7.1006107,3
152225,6.5602236,-15.697179,1
753251,-2.9019551,-21.71782,1
555651,-15.908835,38.29805,0
138534,3.6595418,33.589718,0
